Booking_ID,Booking_Date,City,Cab_Type,Distance_km,Fare_INR,Payment_Mode,Customer_Rating,Booking_Status
1001,2025-01-02,Delhi,Sedan,12,320,UPI,4.5,Completed
1002,2025-01-03,Mumbai,SUV,18,540,Cash,4.8,Completed
1003,2025-01-03,Bengaluru,Mini,7,180,Card,4.2,Completed
1004,2025-01-04,Delhi,Sedan,25,650,UPI,4.9,Completed
1005,2025-01-05,Hyderabad,Mini,5,150,Cash,3.9,Cancelled
1006,2025-01-06,Chennai,SUV,30,820,Card,4.7,Completed
1007,2025-01-07,Pune,Sedan,15,410,UPI,4.3,Completed
1008,2025-01-08,Delhi,Mini,6,170,Cash,4.1,Completed
1009,2025-01-09,Mumbai,SUV,22,690,Card,4.6,Completed
1010,2025-01-10,Jaipur,Sedan,10,290,UPI,4.4,Completed
1011,2025-01-11,Lucknow,Mini,8,210,Cash,4.0,Completed
1012,2025-01-12,Noida,Sedan,14,390,UPI,4.5,Completed
1013,2025-01-13,Gurugram,SUV,20,610,Card,4.8,Completed
1014,2025-01-14,Delhi,Mini,4,120,UPI,3.8,Cancelled
1015,2025-01-15,Mumbai,Sedan,16,450,Cash,4.2,Completed
1016,2025-01-16,Hyderabad,SUV,28,790,Card,4.9,Completed
1017,2025-01-17,Pune,Mini,9,240,UPI,4.3,Completed
1018,2025-01-18,Delhi,Sedan,13,350,Cash,4.4,Completed
1019,2025-01-19,Bengaluru,SUV,26,720,Card,4.7,Completed
1020,2025-01-20,Chennai,Mini,11,300,UPI,4.1,Completed
1021,2025-01-21,Delhi,SUV,35,980,Card,5.0,Completed
1022,2025-01-22,Mumbai,Mini,5,160,UPI,3.7,Cancelled
1023,2025-01-23,Noida,Sedan,17,470,Cash,4.5,Completed
1024,2025-01-24,Jaipur,SUV,24,710,Card,4.6,Completed
1025,2025-01-25,Lucknow,Mini,6,175,UPI,4.2,Completed
